,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
171,Mirreyes vs Godinez Home Office,tt13616362,movie,"The employees of Kuri González Shoe Stores loved the idea of Home-Office--in March. After months of confinement, Mirreyes and Godínez are constantly trying to maintain their sanity.",2020,N/A,56 min,Comedy,Mexico,tt13616362,5.6,147
172,American Assassin,tt1961175,movie,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",2017,R,111 min,"Action, Thriller",United States,tt1961175,6.2,"83,070"
173,Grand Isle,tt8380776,movie,A young father is charged with murder and must prove his innocence by recalling a very twisted and dark night of events.,2019,N/A,97 min,Thriller,United States,tt8380776,4.7,"5,365"
174,Money Heist: Korea - Joint Economic Area,tt13696452,series,A genius strategist and people with different personalities and abilities fighting an extraordinary variable and engaging in an unprecedented hostage play.,2022–,TV-MA,N/A,"Action, Crime, Drama",South Korea,tt13696452,5.3,"5,949"
175,"Yo soy Betty, la fea",tt0233127,series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
176,Ghost Doctor,tt16493854,series,"Cha Young Min is a genius doctor but arrogant and selfish. One day, he gets involved in an unexpected case; his spirit possesses another doctor's body. These two doctors are complete opposites, with personalities and medical abili...",2022–,N/A,N/A,"Comedy, Fantasy, Romance",South Korea,tt16493854,7.9,"1,437"
177,Malverde: El Santo Patrón,tt11874906,series,"From Netflix: Jesús Juárez overcomes his childhood as an orphan to become a Robin Hood like hero During the Mexican Revolution, but can't forget his first love - Isabel.",2021–,TV-MA,N/A,Drama,Mexico,tt11874906,N/A,76
178,Homefront,tt2312718,movie,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",2013,R,100 min,"Action, Crime, Thriller",United States,tt2312718,6.5,"121,207"
179,Man vs. Bee,tt13640670,series,"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",2022–,TV-PG,N/A,"Short, Comedy, Family",United Kingdom,tt13640670,6.7,"27,302"
180,Halftime,tt19637852,movie,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,2022,TV-MA,95 min,"Documentary, Biography, Music",United States,tt19637852,6.5,"4,711"
181,Centauro,tt6067908,movie,"A man falls from a horse and can no longer be saved. Man and horse become one, for a short moment.",2017,N/A,14 min,"Animation, Short",Argentina,tt6067908,8.1,11
182,Loca Por El Trabajo,tt7126758,movie,"Alicia, a successful executive, addicted to work, puts the needs of her company before her family. A bad day, because of an absurd confusion, loses everything it has. In the middle of this situation, she befriends her crazy neighb...",2018,TV-MA,94 min,Comedy,Mexico,tt7126758,4.3,356
183,In Our Prime,tt12663772,movie,"Follows Ji-woo, an outcast in a prestigious private high school who meets Hak-sung, the school's security guard, and asks him to teach him math and become friends, but their friendship is at risk after an incident in school.",2022,N/A,117 min,Drama,South Korea,tt12663772,6.7,515
184,She,tt11905720,series,An undercover assignment to expose a drug ring becomes a timid Mumbai constable's road to empowerment as she realizes her dormant sexuality's potential.,2020–,TV-MA,1 min,"Crime, Drama",India,tt11905720,6.4,"5,516"
185,Spriggan,tt0164917,movie,An elite superhuman agent must stop a foreign military unit from seizing control of an ancient artifact that holds the key to ultimate power.,1998,R,90 min,"Animation, Action, Adventure",Japan,tt0164917,6.5,"3,940"
186,Sonic the Hedgehog,tt3794354,movie,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",2020,PG,99 min,"Action, Adventure, Comedy","United States, Japan, Canada",tt3794354,6.5,"139,101"
187,Belzebuth,tt3662308,movie,"After a personal tragedy, a police detective investigates a school massacre committed by a student - and another massacre. Are the 3 tragedies linked to demon possession?",2017,Not Rated,114 min,Horror,Mexico,tt3662308,6.0,"3,382"
188,Deep Impact,tt0120647,movie,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",1998,PG-13,120 min,"Action, Drama, Sci-Fi",United States,tt0120647,6.2,"179,165"
189,El paseo 6,tt16636178,movie,"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, h...",2021,N/A,97 min,Comedy,Colombia,tt16636178,N/A,192
190,Memoirs of a Geisha,tt0397535,movie,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,2005,PG-13,145 min,"Drama, Romance","France, Japan, United States",tt0397535,7.3,"150,061"
191,Jack Reacher,tt0790724,movie,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,2012,PG-13,130 min,"Action, Mystery, Thriller",United States,tt0790724,7.0,"342,015"
192,Jackass Forever 2022 & Jackass 4.5 (2022),tt20455056,movie,N/A,2022,N/A,N/A,Comedy,N/A,tt20455056,N/A,N/A
193,Luccas Neto em O Plano dos Vilões,tt19768812,movie,N/A,2022,N/A,100 min,Comedy,Brazil,tt19768812,N/A,11
194,4 Kings,tt5033342,movie,"Christmas is approaching, and with it, the desire for harmony, beauty, light, and hope. Unable to cope with her parents' conflict, 16-year-old Alex makes a radical decision; the next day she finds herself in the adolescent psychia...",2015,N/A,98 min,Drama,Germany,tt5033342,6.7,"1,097"
195,Shaman King,tt0367409,series,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",2001–2005,TV-Y7,23 min,"Animation, Action, Adventure",Japan,tt0367409,8.0,"6,027"
196,Dangerous,tt3876910,movie,"A reformed sociopath journeys to a remote island to investigate the mystery behind his brother's demise, but soon ends up facing off with more than he bargained for.",2021,R,99 min,"Action, Thriller",United States,tt3876910,5.1,"6,314"
197,Top Gun,tt0092099,movie,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",1986,PG,110 min,"Action, Drama",United States,tt0092099,6.9,"433,694"
198,Cleveland Abduction,tt4262142,movie,"A single mother, who becomes the first victim of kidnapper Ariel Castro, finds herself trapped in his home for 11 years, where she eventually becomes a friend and sister to two other women who are taken captive by Castro.",2015,TV-14,88 min,"Biography, Crime, Drama",United States,tt4262142,6.6,"7,542"
199,Turbo,tt1860353,movie,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,2013,PG,96 min,"Animation, Adventure, Comedy",United States,tt1860353,6.4,"98,052"
200,Larva Pendant,tt19851736,movie,Bug friends Red and Yellow leave the island behind and go to the big city.,2022,TV-Y7,33 min,"Animation, Short, Family",South Korea,tt19851736,N/A,70
201,Men in Black: International,tt2283336,movie,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",2019,PG-13,114 min,"Action, Adventure, Comedy","China, United States",tt2283336,5.6,"134,754"
202,Pedro el escamoso,tt0283770,series,"A colombian macho guy with fellings, a heart-breaker, an unintentional womanizer and a avid dancer.",2001–,N/A,60 min,Drama,Colombia,tt0283770,7.4,347
203,The In Between,tt8851148,movie,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022,PG-13,115 min,"Drama, Romance, Sci-Fi",United States,tt8851148,5.9,"7,807"
204,Shrek,tt0126029,movie,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,PG,90 min,"Animation, Adventure, Comedy",United States,tt0126029,7.9,"673,516"
205,A Hard Day,tt3697626,movie,"After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.",2014,Not Rated,111 min,"Action, Crime, Thriller",South Korea,tt3697626,7.2,"14,543"
206,Yakuza Princess,tt10715446,movie,The heiress to half of the Yakuza crime syndicate forges an uneasy alliance with an amnesiac stranger who believes an ancient sword binds their two fates. She must unleash war against the other half of the syndicate who wants her ...,2021,R,111 min,Thriller,Brazil,tt10715446,4.7,"1,708"
207,One Piece Film Z,tt2375379,movie,A former Marine stands in the way of the Straw Hat Pirates.,2012,TV-14,108 min,"Animation, Action, Adventure",Japan,tt2375379,7.8,"7,660"
208,Happiness,tt0147612,movie,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",1998,NC-17,134 min,"Comedy, Drama",United States,tt0147612,7.7,"70,660"
209,A Score to Settle,tt3758162,movie,An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 19 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.,2019,Not Rated,103 min,"Action, Crime, Drama","Canada, United States",tt3758162,4.7,"6,134"
210,A Dog's Way Home,tt7616798,movie,A female dog travels four hundred miles in search of her owner throughout a Colorado wilderness.,2019,PG,96 min,"Adventure, Drama, Family","China, United States",tt7616798,6.7,"18,290"
211,Smother-in-Law,tt15353358,series,"Living with her family since the pandemic struck, the meddling Isadir does her best to disrupt the lives of her bumbling son and rival daughter-in-law.",2022–,TV-MA,N/A,Comedy,Brazil,tt15353358,4.5,143
212,Shrek Forever After,tt0892791,movie,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010,PG,95 min,"Animation, Adventure, Comedy",United States,tt0892791,6.3,"204,913"
213,Four Brothers,tt0430105,movie,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",2005,R,109 min,"Action, Crime, Drama",United States,tt0430105,6.8,"147,493"
214,Enough,tt0278435,movie,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",2002,PG-13,115 min,"Crime, Drama, Thriller",United States,tt0278435,5.7,"44,129"
215,Enforcement,tt11081050,movie,"Jens and Mike, two police officers on routine patrol, find themselves trapped in a maze of buildings when unrest spreads.",2020,Not Rated,108 min,"Action, Crime, Drama",Denmark,tt11081050,6.5,"5,941"
216,Ya veremos,tt7948540,movie,"Separated couple Rodrigo and Alejandra are required to see each other occasionally because they have joint custody of their son Santi. When they discover that Santi needs eyesight-saving surgery, Santi makes a pre-operation wishli...",2018,PG-13,85 min,Drama,Mexico,tt7948540,5.8,727
217,Cocomelon,tt12427840,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653
218,Gemini Man,tt1025100,movie,An over-the-hill hitman faces off against a younger clone of himself.,2019,PG-13,117 min,"Action, Adventure, Sci-Fi","China, United States",tt1025100,5.7,"113,927"
219,Escape Room,tt5886046,movie,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,2019,PG-13,99 min,"Action, Adventure, Horror","United States, South Africa",tt5886046,6.4,"122,765"
220,'83,tt7518786,movie,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",2021,N/A,162 min,"Biography, Drama, History",India,tt7518786,7.5,"37,540"
221,Top Boy,tt1830379,series,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,2011–,TV-MA,1 min,"Crime, Drama, Thriller",United Kingdom,tt1830379,8.4,"25,798"
222,Pieces of Her,tt9170236,series,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.",2022–,TV-MA,1 min,"Crime, Drama, Mystery",United States,tt9170236,6.3,"25,949"
223,Taboo,tt3647998,series,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder.",2017–,TV-MA,59 min,"Drama, Mystery, Thriller",United Kingdom,tt3647998,8.3,"138,234"
224,John Wick: Chapter 2,tt4425200,movie,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",2017,R,122 min,"Action, Crime, Thriller","United States, Italy, Hong Kong, Canada",tt4425200,7.4,"428,960"
225,The Dead Don't Die,tt8695030,movie,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,2019,R,104 min,"Comedy, Fantasy, Horror",United States,tt8695030,5.4,"78,901"
226,The Bombardment of Port Arthur,tt1991205,movie,N/A,1904,N/A,N/A,"Documentary, Short, War",United Kingdom,tt1991205,N/A,N/A
227,Shrek 2,tt0298148,movie,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",2004,PG,93 min,"Animation, Adventure, Comedy",United States,tt0298148,7.3,"461,891"
228,Tyler Perry's A Madea Homecoming,tt14813966,movie,Madea's back hallelujer. And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,2022,TV-MA,105 min,"Comedy, Drama, Romance",United States,tt14813966,5.6,"3,903"
229,Chernobyl 1986,tt11390602,movie,Fiction based on the actual events. Really good detail post explosion. There are straight documentaries available but this seems to cover what happened.,2018,N/A,N/A,"Short, Drama",United States,tt11390602,N/A,98
230,One Piece Film: Strong World,tt7947592,movie,The Gold Lion Shiki Offered an alliance to Gol D Roger which the latter refused. The result is a huge battle. Lives of different characters are shown through out the time of Gol D Roger's demise.,2010,N/A,20 min,"Animation, Short, Action, Adventure, Fantasy",Japan,tt7947592,8.0,207
231,The Great Robbery of Brazil's Central Bank,tt18274172,series,"In 2005, thieves tunnel into a Fortaleza, Brazil, bank vault and steal over 160 million reais. This docuseries explores that spectacular, historical heist.",2022–,TV-MA,N/A,"Documentary, Crime",Brazil,tt18274172,6.4,574
232,Lies and Deceit,tt12700540,movie,A women finds out about her friends deepest desire.,2019,N/A,N/A,"Short, Drama",N/A,tt12700540,N/A,N/A
233,Against the Ice,tt13873302,movie,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.",2022,TV-MA,102 min,"Adventure, Drama, History","Iceland, Denmark",tt13873302,6.5,"22,409"
234,Spider-Man: Into the Spider-Verse,tt4633694,movie,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018,PG,117 min,"Animation, Action, Adventure",United States,tt4633694,8.4,"521,336"
235,Coach Carter,tt0393162,movie,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,2005,PG-13,136 min,"Biography, Drama, Sport","United States, Germany",tt0393162,7.3,"149,400"
236,Battleship,tt1440129,movie,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,2012,PG-13,131 min,"Action, Adventure, Sci-Fi","United States, Japan",tt1440129,5.8,"248,631"
237,One Of Us Is Lying,tt8354062,series,"A brain, an athlete, a princess, a criminal and a ""basket case"" walk into detention--but only the first four make it out alive.",2021–,TV-MA,1 min,"Crime, Drama, Mystery",United States,tt8354062,6.8,"9,458"
238,Jeen-yuhs: A Kanye Trilogy,tt14599438,series,"Follows the life of Kanye West, in an intimate portrait as he builds his way from singer to businessman and becomes a global brand.",2022,TV-MA,270 min,"Documentary, Music",United States,tt14599438,8.0,"9,120"
239,The Fame Game,tt9447956,series,"When India's most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths.",2022–,TV-MA,50S min,"Drama, Mystery, Thriller",India,tt9447956,6.8,"21,684"
240,Abominable,tt6324278,movie,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,2019,PG,97 min,"Animation, Adventure, Comedy","United States, China, Japan",tt6324278,7.0,"38,753"
241,Despicable Me,tt1323594,movie,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",2010,PG,95 min,"Animation, Adventure, Comedy","United States, France",tt1323594,7.6,"546,417"
242,Parallel Mothers,tt12618926,movie,The story of two mothers who bond in unexpected way after giving birth the same day.,2021,R,123 min,Drama,"Spain, France",tt12618926,7.1,"29,164"
243,Compadres,tt3367294,movie,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole $10 million from Santos.",2016,R,101 min,"Action, Comedy, Crime",Mexico,tt3367294,4.8,"1,077"
244,Lost Paradise,tt0120120,movie,"Rinko, the wife of an easily irritable, reputable doctor and Sholchiro, a veteran newspaper reporter have made choices in the course of their lives so that their future seems to have been fully established. Both are stuck in a lit...",1997,N/A,119 min,"Drama, Romance",Japan,tt0120120,6.6,637
245,The Vanishing,tt0096163,movie,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",1988,Not Rated,107 min,"Mystery, Thriller","Netherlands, France, West Germany",tt0096163,7.7,"39,283"
246,Parallel Roads,tt5223624,movie,"Gaby, Fer's mother, and Silvia, Diego's mother, live their lives happily, until one day, due to Diego's kidney disease they find out that the kids were switched at birth.",2016,N/A,91 min,Drama,Mexico,tt5223624,6.6,374
247,Thoroughbred,tt0028364,movie,A plot is planned to kill favored Stormalong before the Melbourne Cup.,1936,N/A,78 min,"Crime, Drama, Sport",Australia,tt0028364,6.3,24
248,Dora and the Lost City of Gold,tt7547410,movie,"Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",2019,PG,102 min,"Action, Adventure, Comedy","United States, Australia",tt7547410,6.1,"31,166"
249,Faster,tt1433108,movie,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,2010,R,98 min,"Action, Crime, Drama",United States,tt1433108,6.4,"107,852"
250,In from the Cold,tt11859542,series,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.",2022–,TV-MA,N/A,"Action, Crime, Drama",United States,tt11859542,6.2,"7,684"
251,Our Beloved Summer,tt15026724,series,"A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more.",2021–,TV-Y7,51S min,"Drama, Romance",South Korea,tt15026724,8.3,"6,092"
252,Transformers: Revenge of the Fallen,tt1055369,movie,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009,PG-13,149 min,"Action, Adventure, Sci-Fi",United States,tt1055369,5.9,"407,313"
253,The Medium,tt13446168,movie,A horrifying story of a shaman's inheritance in the Isan region of Thailand. What could be possessing a family member might not be the Goddess they make it out to be.,2021,N/A,130 min,Horror,"Thailand, South Korea",tt13446168,6.5,"8,779"
254,Boruto: Naruto Next Generations,tt6342474,series,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's...",2017–,TV-14,23 min,"Animation, Action, Adventure",Japan,tt6342474,6.8,"21,230"
255,Munich: The Edge of War,tt7475578,movie,"A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.",2021,PG-13,130 min,"Biography, Drama, History","United Kingdom, United States",tt7475578,6.8,"30,454"
256,The Secret Life of Pets 2,tt5113040,movie,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",2019,PG,86 min,"Animation, Adventure, Comedy",United States,tt5113040,6.4,"62,541"
257,Hotel Transylvania 3: Summer Vacation,tt5220122,movie,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",2018,PG,97 min,"Animation, Adventure, Comedy","United States, South Korea",tt5220122,6.3,"74,229"
258,The Possession of Hannah Grace,tt5734576,movie,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",2018,R,86 min,"Horror, Mystery, Thriller",United States,tt5734576,5.2,"23,326"
259,A Perfect Enemy,tt9421200,movie,"A successful architect is approached on his trip to the Paris Airport by a chatty girl. Although the meeting seems fortuitous, soon there be a turn that will transform the encounter into something much more sinister and criminal.",2020,N/A,89 min,"Adventure, Drama, Thriller","Spain, Germany, France",tt9421200,5.5,"3,012"
260,Rogue City,tt10127684,movie,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",2020,TV-MA,116 min,"Action, Crime, Drama",France,tt10127684,6.1,"8,846"
261,Carinha de Anjo,tt6267820,series,"Follows the life of a sweet, cheerful 5-year-old girl named Dulce Maria who lives in a rural Catholic boarding school with other girls and friendly nuns, after her mother tragically dies in an accident. One day her widower father ...",2016–,N/A,N/A,"Family, Musical",Brazil,tt6267820,7.2,94
262,Mother/Android,tt13029044,movie,"In a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety.",2021,R,110 min,"Drama, Sci-Fi, Thriller",United States,tt13029044,4.9,"18,882"
263,Yeh Kaali Kaali Ankhein,tt14160712,series,"Aggressively pursued by a politician's daughter who will do anything to marry him, a small-town man takes drastic measures to reclaim his life.",2022–,TV-MA,2 min,"Comedy, Crime, Mystery",India,tt14160712,7.0,"7,569"
264,Just Go with It,tt1564367,movie,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",2011,PG-13,117 min,"Comedy, Romance",United States,tt1564367,6.4,"245,212"
265,Tides,tt5514674,movie,"A devastating loss finds four friends navigating love, life and the canals of southern England.",2017,N/A,99 min,Drama,United Kingdom,tt5514674,6.9,44
266,The Clovehitch Killer,tt6269368,movie,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,2018,Unrated,109 min,"Crime, Drama, Mystery",United States,tt6269368,6.5,"28,338"
267,Sin Nombre,tt1127715,movie,A young Honduran girl and a Mexican gangster are united in a journey across the American border.,2009,R,96 min,"Adventure, Crime, Drama",Mexico,tt1127715,7.5,"32,971"
268,Journey 2: The Mysterious Island,tt1397514,movie,"Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",2012,PG,94 min,"Action, Adventure, Comedy",United States,tt1397514,5.7,"104,982"
269,The Longest Yard,tt0398165,movie,Prison inmates form a football team to challenge the prison guards.,2005,PG-13,113 min,"Comedy, Crime, Sport",United States,tt0398165,6.4,"179,957"
270,Stand by Me Doraemon 2,tt13428402,movie,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?",2020,Not Rated,96 min,"Animation, Comedy, Drama",Japan,tt13428402,7.5,"3,999"
271,Daughter from Another Mother,tt11937732,series,"After finding out their babies were switched at birth, two women develop a plan to adjust to their new lives creating a single and very peculiar family.",2021–,TV-MA,2 min,"Comedy, Drama",Mexico,tt11937732,7.3,"1,879"
272,Spider-Man: Homecoming,tt2250912,movie,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",2017,PG-13,133 min,"Action, Adventure, Sci-Fi",United States,tt2250912,7.4,"651,398"
273,Fast & Furious 6,tt1905041,movie,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",2013,PG-13,130 min,"Action, Crime, Thriller","United States, Japan, Spain, United Kingdom",tt1905041,7.0,"394,699"
274,Spider-Man,tt0145487,movie,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",2002,PG-13,121 min,"Action, Adventure, Sci-Fi",United States,tt0145487,7.4,"813,310"
275,Intervenção,tt13727594,movie,"When an idealistic young woman joins a Pacifying Police Unit, she comes face to face with the instability of daily life in Rio de Janeiro's favelas.",2015,N/A,4 min,"Short, Drama",Brazil,tt13727594,N/A,64
276,Titans,tt1043813,series,A team of young superheroes combat evil and other perils.,2018–,TV-MA,45 min,"Action, Adventure, Crime",United States,tt1043813,7.6,"99,077"
277,PAW Patrol,tt3121722,series,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",2013–,TV-Y,23 min,"Animation, Adventure, Comedy","United States, Canada",tt3121722,6.1,"3,352"
278,The King's Affection,tt14609428,series,"The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.",2021–,TV-PG,1 min,"Drama, Romance",South Korea,tt14609428,7.9,"3,409"
279,John Wick: Chapter 3 - Parabellum,tt6146586,movie,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",2019,R,130 min,"Action, Crime, Thriller",United States,tt6146586,7.4,"339,578"
280,The Lord of the Rings: The Two Towers,tt0167261,movie,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,PG-13,179 min,"Action, Adventure, Drama","New Zealand, United States",tt0167261,8.8,"1,653,467"
281,Escape from Mogadishu,tt14810692,movie,In 1991 war-torn Somalia the personnel and the families of both the South Korean and the North Korean embassies have the same goal: to escape from Mogadishu.,2021,TV-14,121 min,"Action, Drama, Thriller",South Korea,tt14810692,7.0,"5,268"
282,Single All the Way,tt14315756,movie,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",2021,TV-PG,99 min,"Comedy, Drama, Romance",United States,tt14315756,6.1,"15,557"
283,A Castle for Christmas,tt13070602,movie,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",2021,TV-G,98 min,"Adventure, Comedy, Drama","United Kingdom, United States",tt13070602,5.5,"12,223"
284,Redemption Day,tt4439620,movie,"When the love of his life is kidnapped and held for ransom by terrorists, a war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces.",2021,R,99 min,"Action, Drama, Thriller",United States,tt4439620,4.6,"23,757"
285,Jurassic World: Camp Cretaceous,tt10436228,series,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020–2022,TV-PG,1 min,"Animation, Action, Adventure",United States,tt10436228,7.5,"8,904"
286,The Croods,tt0481499,movie,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",2013,PG,98 min,"Animation, Adventure, Comedy",United States,tt0481499,7.2,"215,038"
287,Jack Reacher: Never Go Back,tt3393786,movie,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,2016,PG-13,118 min,"Action, Crime, Drama","China, United States",tt3393786,6.1,"159,652"
288,Central Intelligence,tt1489889,movie,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016,PG-13,107 min,"Action, Comedy, Crime","United States, China",tt1489889,6.3,"190,491"
289,Earwig and the Witch,tt12441478,movie,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",2020,PG,82 min,"Animation, Adventure, Family",Japan,tt12441478,4.8,"4,472"
290,Sinkhole,tt12664618,movie,A working class family move into a new condo purchased after 11 years of hard work. They throw a housewarming party to show his co-workers when overnight a heavy downpour creates an extremely deep sinkhole that engulfs the entire ...,2021,N/A,117 min,"Action, Comedy, Drama",South Korea,tt12664618,6.2,"1,804"
